,S&P 500,S&P 500 daily exposure,S&P/Gold/BTC 60/30/10 daily exposure,Static HMM daily exposure,Static HMM/Gold/BTC 60/30/10 daily exposure,Static HMM with momentum/Gold/BTC 60/30/10 daily exposure
2024-12-20,34294.84063906027,20202.044654912064,37291.03159203397,39377.3650394951,37991.82748707551,55573.958613836476
2024-12-21,34294.84063906027,20202.044654912064,37264.24125759559,39377.3650394951,37964.24110716032,55535.51293662015
2024-12-22,34294.84063906027,20202.044654912064,37157.333268447,39377.3650394951,37854.156464081105,55382.093797635294
2024-12-23,34500.20924823307,20133.189538683728,36857.78404660605,39212.86000719564,37541.28845016058,54919.15266457867
2024-12-24,34883.67773975986,20370.636034602474,37357.279202148755,39885.99055582724,37968.22011980553,55841.01771809625
2024-12-25,34883.67773975986,20242.87378221882,37153.93576645383,39885.99055582724,37903.16007127716,55750.346972855674
2024-12-26,34885.99832960639,20310.185766463812,37173.930290415556,39883.96706689791,37942.5060545672,55671.3294254296
2024-12-27,34518.77396700524,20063.463060451973,36715.031090402525,39318.34322264206,37547.45932706059,54914.77908935697
2024-12-28,34518.77396700524,20063.463060451973,36764.74724901736,39318.34322264206,37598.65274693473,54986.124648365854
2024-12-29,34518.77396700524,20063.463060451973,36683.450224497836,39318.34322264206,37514.94007027784,54869.45872280551
2024-12-30,34124.85922892475,19758.937168877856,36207.16769562768,38774.52291750322,37067.848933580746,54197.71366168841
2024-12-31,34000.7112643802,19773.353141846062,36414.28981713953,38755.76746123106,37408.6681718824,54456.12120895863
2025-01-01,34000.7112643802,19773.353141846062,36463.60966795912,38755.76746123106,37459.453508108745,54526.89804339229
2025-01-02,33917.170029905436,19812.014217420052,36808.997689074364,38694.27815869496,37822.37369112211,54908.805377882774
2025-01-03,34341.248843746354,20112.38139668083,37185.66513470054,39372.761648128944,38078.16651192048,55559.95161800709
2025-01-04,34341.248843746354,20112.38139668083,37192.123219059125,39372.761648128944,38084.81649119006,55569.2193420535
2025-01-05,34341.248843746354,20112.38139668083,37196.07108841286,39372.761648128944,38088.88166716232,55574.88476258847
2025-01-06,34539.07733204013,20259.424438446556,37544.19301424872,39789.45740357969,38283.826255719076,56201.31618892826
2025-01-07,34148.64707097378,20139.193651543977,37306.26365671901,39470.81053495161,38382.17674891653,55775.126282954356
2025-01-08,34198.53616042964,20133.66293223635,37209.35739732795,39327.49651513112,38233.362582769456,55521.520373590996
2025-01-09,34198.53616042964,20158.713068965226,37201.41042558377,39327.49651513112,38196.88180682544,55470.679047514284
2025-01-10,33676.41422169537,19799.311390834966,36975.14776612307,38572.96504050173,38163.07942516238,55062.91200508583
2025-01-11,33676.41422169537,19799.311390834966,36968.35953903885,38572.96504050173,38156.089493337284,55053.17050716048
2025-01-12,33676.41422169537,19799.311390834966,36964.42549757492,38572.96504050173,38152.03855613544,55047.524930446016
2025-01-13,33728.63108548645,19882.870721282427,36962.26067197359,38683.8393428021,38273.18342241515,55008.21855420979
2025-01-14,33775.035697928186,19936.693267558407,37158.955176460346,38611.99356486015,38430.120984588924,55143.966733889116
2025-01-15,34389.40287918386,20322.187001061302,37936.16208877041,39541.416982308125,39146.43064863016,56451.696612461004
